ngram	t	p	p corrected	#members	meanM	StdevM	#nonMembers	meanN	StDevN
guest	0.881145202	0.418568934	1.56E+04	6	56	28.1921975	37305	45.85814234	19.51042937
via	0.868098479	0.418695882	1.56E+04	7	54	24.81263119	37304	45.85824576	19.51098843
make	-0.807653054	0.419890667	1.57E+04	314	45.07324841	17.31343412	37006	45.86661622	19.52752804
smoking	-0.854614423	0.421036175	1.57E+04	8	39.875	19.80935926	37303	45.86105675	19.51202243
enough	-0.804865951	0.422211379	1.58E+04	145	44.68275862	17.64531077	37168	45.86499139	19.51897423
granted	0.832631623	0.422750109	1.58E+04	12	50.41666667	18.96148409	37299	45.85830719	19.51226438
which	0.803190875	0.422868838	1.58E+04	189	47.02116402	19.86710038	37131	45.85761224	19.51048956
plate	-0.858971973	0.423315314	1.58E+04	7	41.42857143	13.64865247	37304	45.86060476	19.51298246
y	0.81564641	0.423429665	1.58E+04	23	48.56521739	15.91119128	37293	45.85788218	19.51302091
emotionally	0.814808964	0.42389595	1.58E+04	23	48.34782609	14.64305202	37289	45.85861782	19.51456763
el	0.823225786	0.424169541	1.58E+04	15	49.86666667	18.85230818	37300	45.85863271	19.5123473
five	0.830615129	0.425562702	1.59E+04	11	50.09090909	16.89647623	37300	45.85852547	19.51279445
experience	0.808085988	0.426070717	1.59E+04	28	47.53571429	10.96959482	37283	45.8585146	19.5170532
daisy	-0.916992303	0.426737901	1.59E+04	4	40	12.78019301	37307	45.86040153	19.51262911
street	-0.826063355	0.428004597	1.60E+04	11	43	11.48041811	37300	45.86061662	19.51392377
washed	-0.825396173	0.428385443	1.60E+04	11	41.27272727	18.43415802	37300	45.86112601	19.51239749
three	-0.796092211	0.42869875	1.60E+04	70	44	19.56705305	37242	45.86356801	19.51183031
one	0.79210711	0.428831773	1.60E+04	347	46.72910663	20.4077323	36982	45.8576064	19.5065864
awoke	-0.857726832	0.430209718	1.61E+04	6	40.5	15.30686121	37305	45.8606353	19.51265999
quite	-0.7993303	0.430815859	1.61E+04	29	43.17241379	18.11090628	37282	45.86186363	19.51314611
hope	-0.800741276	0.430815959	1.61E+04	26	42.73076923	19.93099635	37286	45.86174435	19.51159745
cared	-0.811992643	0.431398573	1.61E+04	14	42.28571429	16.47108689	37297	45.86111483	19.51312999
birthday	-0.7901378	0.431559249	1.61E+04	89	44.37078652	17.80856665	37225	45.8644728	19.51583341
or	0.78742449	0.431723536	1.61E+04	267	46.75655431	18.63814264	37065	45.85484959	19.51661358
extra	0.790456921	0.433057256	1.62E+04	50	47.8	17.35817163	37263	45.85792878	19.51512358
someone	-0.783479261	0.43435722	1.62E+04	182	44.85164835	17.40213274	37131	45.86539549	19.52199257
illness	0.798744034	0.434841167	1.62E+04	19	49.36842105	19.15205393	37292	45.85798563	19.51228695
thick	-0.817087873	0.434964808	1.62E+04	10	40.2	21.90788798	37301	45.86129058	19.51144183
count	-0.802770226	0.435510097	1.62E+04	15	42.4	16.69388254	37296	45.86116474	19.51313363
early	0.781389202	0.435588546	1.63E+04	181	46.90607735	18.03844711	37134	45.85541552	19.51825945
control	-0.790147365	0.436066161	1.63E+04	29	43.62068966	15.26062579	37284	45.86125416	19.51454202
beside	-0.811017691	0.436225005	1.63E+04	11	40.18181818	23.22420368	37300	45.86144772	19.51094189
plan	0.789165452	0.437425295	1.63E+04	26	48.80769231	19.05364895	37285	45.85771758	19.512424
line	-0.808525619	0.437592896	1.63E+04	11	40.09090909	23.66623986	37301	45.86083483	19.51092125
available	-0.804741696	0.438007875	1.63E+04	12	40.83333333	21.64101045	37299	45.86139039	19.51140505
tidy	0.815849535	0.4381919	1.63E+04	9	51.77777778	21.76452261	37302	45.8583454	19.51154796
iphone	-0.807407069	0.438205061	1.63E+04	11	40.90909091	20.33939304	37300	45.86123324	19.51186376
twice	-0.798190174	0.439081592	1.64E+04	14	42.57142857	15.41584742	37297	45.86100759	19.51344938
extended	-0.802186656	0.439403668	1.64E+04	12	43.08333333	11.98831502	37299	45.86066651	19.514003
received	-0.777430473	0.439899778	1.64E+04	62	43.91935484	19.66964741	37249	45.86300303	19.51185586
fight	-0.782152514	0.441178821	1.65E+04	27	43.11111111	18.26794867	37285	45.86203567	19.51278421
expensive	-0.81616734	0.441273625	1.65E+04	8	41.125	16.4093832	37303	45.86078868	19.51268824
act	0.833906752	0.442311655	1.65E+04	6	50.33333333	13.1402689	37305	45.85905375	19.51290759
communicate	-0.833285802	0.442642985	1.65E+04	6	39.66666667	18.20622604	37305	45.86076933	19.51228658
beginning	0.821067403	0.442995442	1.65E+04	7	54.85714286	28.99671574	37304	45.85808492	19.50998973
fridge	0.792365397	0.443516398	1.65E+04	13	49.53846154	16.74124341	37298	45.85849107	19.51298281
backyard	-0.81139473	0.443837104	1.66E+04	8	40.5	18.68536478	37303	45.86092271	19.51226947
exciting	-0.80424603	0.444483294	1.66E+04	9	40.77777778	18.95902013	37302	45.86099941	19.51223274
events	0.809961038	0.444607726	1.66E+04	8	51.125	18.38817555	37303	45.85864408	19.51232797
naps	0.829194366	0.444746161	1.66E+04	6	51.33333333	16.16993094	37305	45.85889291	19.5125616
hadnt	-0.782719678	0.445209122	1.66E+04	17	42.64705882	16.92609367	37294	45.86123773	19.51319088
incredibly	0.781232873	0.445400445	1.66E+04	18	49.66666667	20.67962908	37293	45.85793581	19.51154807
fact	0.767390418	0.445418586	1.66E+04	71	47.49295775	17.93310844	37242	45.85790237	19.51520599
change	-0.771525546	0.445876861	1.66E+04	34	43.05882353	21.18309958	37278	45.86276088	19.51046672
e	0.77438996	0.445940318	1.66E+04	26	47.84615385	13.07728506	37288	45.85856039	19.51526868
th	0.775894457	0.446049886	1.66E+04	23	47.95652174	12.95965158	37289	45.85837646	19.51517124
offering	0.792417117	0.44650067	1.67E+04	11	51.18181818	22.27921983	37300	45.85820375	19.51126692
charge	0.806115351	0.446681697	1.67E+04	8	51.375	19.35338656	37303	45.85859046	19.51213798
takes	0.76516665	0.447430326	1.67E+04	56	47.58928571	16.92311683	37255	45.85717353	19.51572869
hospital	-0.767364345	0.449057916	1.68E+04	30	43.13333333	19.46833562	37281	45.86196722	19.51215622
shes	-0.763566833	0.449594722	1.68E+04	41	43.68292683	18.265321	37272	45.86241683	19.51302064
try	-0.76392946	0.450012771	1.68E+04	36	43.91666667	15.26410355	37275	45.8616499	19.51573641
struggling	-0.804583467	0.45174679	1.69E+04	7	38.71428571	23.49974671	37304	45.86111409	19.511323
birth	0.781907339	0.452375633	1.69E+04	11	50.72727273	20.64989544	37300	45.8583378	19.51178249
grown	0.771438867	0.452418948	1.69E+04	16	49.625	19.52733127	37295	45.85815793	19.51211351
commute	0.756688643	0.452844947	1.69E+04	50	47.56	15.90040431	37263	45.85674798	19.51662347
everybody	0.830592873	0.452890388	1.69E+04	5	52.6	18.14662503	37306	45.85886989	19.51226074
colors	-0.922049576	0.453823309	1.69E+04	3	37	16.64331698	37308	45.86048569	19.51225622
perfectly	-0.79290526	0.453850256	1.69E+04	8	41	17.33699595	37303	45.86081548	19.51253112
sharing	0.756502618	0.45412599	1.69E+04	38	48	17.44644314	37273	45.85759129	19.51409781
note	0.765075541	0.454128352	1.69E+04	19	48.84210526	16.9943231	37292	45.85825378	19.51329625
saw	0.752112798	0.454773235	1.70E+04	64	47.578125	18.2911243	37247	45.85682068	19.51414605
else	-0.756606231	0.455376952	1.70E+04	30	43.43333333	17.57090725	37281	45.86172581	19.513589
laugh	-0.746719157	0.456330217	1.70E+04	159	44.86163522	16.87724781	37153	45.863941	19.52236043
similar	-0.787961818	0.456557308	1.70E+04	8	40.375	19.69000834	37303	45.86094952	19.51207662
view	0.757239736	0.456579367	1.70E+04	24	48.29166667	15.73552935	37287	45.85820795	19.51428201
basis	0.776472322	0.457383037	1.71E+04	10	51.6	23.38185431	37301	45.85823436	19.51102276
kathy	0.804254349	0.457760777	1.71E+04	6	54	24.79516082	37305	45.85846401	19.51119837
education	0.755539101	0.458307911	1.71E+04	22	49.13636364	20.3476814	37289	45.85784011	19.51163251
estoy	0.81975275	0.458378184	1.71E+04	5	52.4	17.8409641	37306	45.85889669	19.51230009
xmas	-0.791127361	0.458972798	1.71E+04	7	41.42857143	14.81954951	37304	45.86060476	19.51284508
supposed	-0.777884474	0.459009568	1.71E+04	9	41.22222222	17.88699093	37302	45.86089218	19.51247654
closer	0.76884247	0.459745071	1.72E+04	11	49.63636364	16.29277587	37300	45.85865952	19.51295961
expressed	0.799843613	0.46009	1.72E+04	6	54	24.93190727	37305	45.85846401	19.51117501
graduating	0.775893526	0.46009824	1.72E+04	9	48.66666667	10.85126721	37302	45.85909603	19.513672
contact	0.751266831	0.46123095	1.72E+04	21	48.95238095	18.86922412	37290	45.85803164	19.51247661
hi	-0.786782213	0.461333774	1.72E+04	7	40.42857143	18.26524152	37304	45.86079241	19.51232779
picture	-0.756863854	0.461670668	1.72E+04	15	41.86666667	20.43409849	37297	45.86065903	19.51199103
through	-0.73704503	0.461881543	1.72E+04	218	44.90366972	19.20625103	37098	45.86532967	19.51311224
ran	0.750344043	0.463291083	1.73E+04	18	48.55555556	15.24398521	37293	45.8584721	19.51391843
pursue	-0.765650977	0.463476905	1.73E+04	10	41.6	17.59545396	37301	45.86091526	19.51259058
cold	-0.737834784	0.463682781	1.73E+04	57	44.22807018	16.70438089	37254	45.86226982	19.51608779
professor	-0.807004164	0.464902076	1.73E+04	5	38.8	19.56271965	37306	45.86071946	19.51209887
lost	0.737117293	0.465453622	1.74E+04	40	48.175	19.8763969	37272	45.85723868	19.51148394
apartment	-0.732720074	0.465541878	1.74E+04	95	44.48421053	18.30757497	37218	45.86248589	19.51501765
wished	-0.778958668	0.465597967	1.74E+04	7	39.57142857	21.36084536	37304	45.86095325	19.51177388
dream	0.744531569	0.465658364	1.74E+04	20	49.85	23.97646873	37291	45.85763321	19.50952156
ups	0.778755688	0.465712655	1.74E+04	7	54.14285714	28.14503255	37304	45.85821896	19.51024971
sell	0.778036121	0.466092001	1.74E+04	7	50.14285714	14.56512469	37304	45.85896955	19.5128821
dropped	-0.752741929	0.466093421	1.74E+04	13	43.15384615	12.96049224	37298	45.86071639	19.51396407
heavy	-0.787204695	0.466811031	1.74E+04	6	38.66666667	22.38451846	37305	45.86093017	19.51164888
discuss	-0.802664093	0.467133901	1.74E+04	5	40	16.32482772	37306	45.86055862	19.5124714
guy	0.734594817	0.467203105	1.74E+04	38	47.78947368	16.19001677	37276	45.85872948	19.51475877
disease	0.763177442	0.467256797	1.74E+04	9	51.88888889	23.70360966	37303	45.858376	19.5107968
linda	0.774823972	0.467844688	1.75E+04	7	49.57142857	12.67355702	37304	45.85907677	19.51311643
tea	0.729565997	0.469048171	1.75E+04	51	47.64705882	17.50408356	37260	45.85732689	19.51471937
grace	-0.735395153	0.469856788	1.75E+04	23	42.95652174	18.93884479	37288	45.86156404	19.51247554
fights	-0.750181356	0.470413891	1.76E+04	11	42.09090909	16.6640604	37300	45.86088472	19.51287599
really	0.721909618	0.470772117	1.76E+04	392	46.56122449	19.07613837	36944	45.86181789	19.52093845
sunrise	0.739675554	0.470906682	1.76E+04	16	49.625	20.36623022	37295	45.85815793	19.51176857
body	-0.725493422	0.471456199	1.76E+04	52	43.90384615	19.45458222	37259	45.86250302	19.51221733
fall	0.730438671	0.472184246	1.76E+04	25	48.84	20.40767829	37286	45.85777504	19.51153318
chloe	0.791282834	0.473035215	1.76E+04	5	51	14.52583905	37306	45.85908433	19.51265107
situation	-0.722394046	0.473544965	1.77E+04	49	44.12244898	16.8419524	37262	45.86205786	19.51537795
throughout	0.743863745	0.474062565	1.77E+04	11	49.81818182	17.6511653	37300	45.8586059	19.51263221
monthly	0.769797027	0.476183927	1.78E+04	6	51.66666667	18.4788167	37305	45.8588393	19.51227134
like	0.712509481	0.476652525	1.78E+04	324	46.54938272	17.3710383	37008	45.85797665	19.52772264
mi	0.71871449	0.477522061	1.78E+04	33	48.15151515	18.3219834	37284	45.85806244	19.51242359
pete	0.744655478	0.477772822	1.78E+04	9	50.88888889	20.26354143	37304	45.85854064	19.51200934
man	-0.711732893	0.478402445	1.78E+04	94	44.45744681	19.12587893	37217	45.86331515	19.51310389
sara	-0.73226127	0.479307268	1.79E+04	12	42.41666667	16.28975324	37299	45.86088099	19.51304962
almost	0.713377623	0.47954708	1.79E+04	43	47.8372093	18.18022242	37269	45.85808581	19.51368496
encourages	0.804603626	0.479819922	1.79E+04	4	48.75	7.182153809	37307	45.85946337	19.51293078
perspective	-0.740807263	0.479978557	1.79E+04	9	40.55555556	21.48319757	37302	45.86105303	19.51165743
cannot	-0.762595666	0.480100054	1.79E+04	6	40.66666667	16.68132689	37305	45.8606085	19.51251624
doctor	0.715526609	0.480417093	1.79E+04	28	48.5	19.53249903	37283	45.85779041	19.51212658
saturday	0.718133228	0.48057376	1.79E+04	22	48.18181818	15.16774888	37289	45.85840328	19.51436818
arguing	-0.738546005	0.481259465	1.80E+04	9	42.88888889	12.06694291	37302	45.86049005	19.51351303
peaceful	0.708688487	0.481501533	1.80E+04	56	47.66071429	19.03038411	37255	45.85706617	19.51285302
james	-0.71708577	0.481598141	1.80E+04	21	43.42857143	15.5324545	37292	45.86018449	19.51402203
build	0.722806403	0.481688102	1.80E+04	15	49.06666667	17.18581918	37296	45.85848348	19.5129907
studio	-0.729964751	0.482154537	1.80E+04	11	40.72727273	23.32419735	37300	45.86128686	19.51095449
love	-0.702784834	0.482447984	1.80E+04	614	45.30944625	19.55313192	36723	45.86861095	19.5108872
ear	0.724484976	0.48264639	1.80E+04	13	49.92307692	20.22565013	37298	45.85835702	19.51189425
offer	0.727740963	0.483455413	1.80E+04	11	50.63636364	21.7727937	37300	45.85836461	19.51146184
hugged	0.718061301	0.483743966	1.80E+04	16	49.1875	18.54083331	37295	45.85834562	19.51253469
pizza	-0.719873454	0.485379057	1.81E+04	13	41.92307692	19.7208077	37298	45.86114537	19.51206957
elevator	0.731332969	0.485423262	1.81E+04	9	49.22222222	13.79110019	37303	45.8594483	19.51321719
believe	-0.711898867	0.485644343	1.81E+04	19	42.52631579	20.41613855	37292	45.86147163	19.51168394
certain	0.730599398	0.485855373	1.81E+04	9	50.22222222	17.9149224	37302	45.85872071	19.51248636
happy	0.69645695	0.486441957	1.82E+04	526	46.44296578	19.11557774	36806	45.8581753	19.51802324
weekend	-0.69806607	0.486794808	1.82E+04	98	44.64285714	17.28311851	37214	45.86362659	19.51779215
behaved	0.72085129	0.487485025	1.82E+04	11	48.45454545	11.936194	37301	45.8592531	19.5136572
pie	0.732455541	0.487676454	1.82E+04	8	51.25	20.81723187	37303	45.85861727	19.5118627
wont	-0.7093042	0.487739592	1.82E+04	18	42.88888889	17.7727117	37294	45.86107685	19.51267853
standing	0.74849519	0.487826818	1.82E+04	6	49.5	11.91217864	37305	45.85918778	19.51304113
paying	0.70130267	0.488508204	1.82E+04	31	48.09677419	17.76580018	37280	45.85791309	19.51351129
winter	0.702112873	0.488608946	1.82E+04	28	48.46428571	19.63647804	37283	45.85781724	19.51205461
horse	-0.759430356	0.489874422	1.83E+04	5	40.2	16.66433317	37307	45.8601871	19.51230062
sit	-0.695664827	0.490460028	1.83E+04	43	43.95348837	17.97743756	37268	45.86197274	19.51382959
baby	0.691188445	0.490947995	1.83E+04	107	47.06542056	18.04411315	37208	45.85769189	19.51588916
moving	-0.693073515	0.491065911	1.83E+04	58	44.34482759	16.65496262	37253	45.86213191	19.51623529
gentle	0.781768972	0.491368268	1.83E+04	4	55.5	24.66441431	37307	45.85873965	19.51155109
company	0.69144322	0.491564689	1.83E+04	71	47.4084507	18.87294168	37243	45.85817469	19.5131709
nicole	-0.71631937	0.491955502	1.84E+04	10	40.4	24.10716814	37301	45.86123696	19.51083136
lucy	0.738861396	0.493189135	1.84E+04	6	54.66666667	29.20045662	37305	45.85835679	19.51033475
some	-0.685493103	0.493411689	1.84E+04	409	45.26650367	17.59191207	36920	45.86684724	19.53216014
makeup	-0.737735291	0.493809656	1.84E+04	6	40.16666667	18.90414417	37305	45.86068892	19.51222212
likes	0.696369028	0.495600032	1.85E+04	18	48.94444444	18.79759754	37293	45.8582844	19.51247757
strong	0.686487882	0.496260142	1.85E+04	42	47.80952381	18.41557943	37269	45.857576	19.51333817
selling	-0.711759639	0.496803058	1.85E+04	9	43.55555556	9.709674442	37302	45.8603292	19.51381687
means	0.687616587	0.497546069	1.86E+04	28	47.92857143	15.92326174	37283	45.85821956	19.51455308
improving	0.695660169	0.49801739	1.86E+04	15	49.13333333	18.22818331	37296	45.85845667	19.51263116
raise	0.713692124	0.498509137	1.86E+04	8	51.75	23.34676484	37303	45.85851004	19.51129448
cheese	0.705199576	0.498523373	1.86E+04	10	51.3	24.39968124	37301	45.85831479	19.51074509
built	0.708643406	0.498661722	1.86E+04	9	50.33333333	18.94069692	37302	45.8586939	19.51227252
something	-0.677079175	0.499479119	1.86E+04	139	44.83453237	17.86811472	37174	45.86296874	19.51772381
hall	-0.718022811	0.499726208	1.86E+04	7	39.71428571	22.64740078	37304	45.86092644	19.51154905
entire	0.685705062	0.500387925	1.87E+04	22	48.31818182	16.81945122	37289	45.85832283	19.51359592
mums	-0.701647839	0.500628521	1.87E+04	10	41.7	18.75011111	37301	45.86088845	19.51233689
payment	-0.698460442	0.500796343	1.87E+04	11	42.36363636	16.60284751	37300	45.86080429	19.51290495
daddy	0.695335434	0.501261869	1.87E+04	12	49.91666667	20.2145687	37299	45.85846806	19.5119289
past	0.672904981	0.503499744	1.88E+04	63	47.50793651	19.45372758	37249	45.85728476	19.51207836
emily	-0.686326839	0.503703757	1.88E+04	15	42.93333333	16.51608163	37296	45.86095024	19.51322554
rob	0.704404522	0.503927194	1.88E+04	8	51.375	22.148444	37303	45.85859046	19.51158016
moms	-0.675477322	0.504067555	1.88E+04	34	43.88235294	17.07517196	37277	45.86157684	19.51420672
downs	0.708332846	0.505307802	1.89E+04	7	53.28571429	27.74115046	37304	45.8583798	19.51040752
presentation	-0.688419226	0.505431654	1.89E+04	12	43	14.39065353	37299	45.86069332	19.51352024
stability	-0.693445029	0.505522236	1.89E+04	10	41.5	19.88438807	37301	45.86094207	19.51205423
days	0.666973624	0.506242369	1.89E+04	106	47.02830189	18.05412896	37206	45.85677041	19.51597592
training	-0.673145021	0.506562835	1.89E+04	28	43.89285714	15.46403063	37283	45.86125044	19.51482846
fed	0.682189808	0.5070834	1.89E+04	14	49.35714286	19.18576052	37297	45.85846047	19.51227065
service	0.690397156	0.507346308	1.89E+04	10	49.9	18.50795625	37301	45.85869012	19.51239941
dont	0.662113279	0.50816588	1.90E+04	550	46.34181818	17.06772848	36788	45.85525171	19.54366184
point	0.69588954	0.50891567	1.90E+04	8	49.125	13.27120944	37303	45.859073	19.51320074
toddler	0.724286779	0.508979387	1.90E+04	5	54.4	26.36854186	37306	45.85862864	19.51116061
involved	-0.676298194	0.509133695	1.90E+04	16	43.0625	16.54677713	37295	45.86097332	19.51329152
pass	0.682184663	0.509216423	1.90E+04	12	48.75	14.67914414	37300	45.85841823	19.51336661
putting	-0.666139316	0.50933826	1.90E+04	39	43.71794872	20.09051716	37272	45.86201438	19.51155405
liz	0.709943753	0.509452073	1.90E+04	6	50.33333333	15.43588892	37306	45.8589235	19.51243698
answer	-0.694077876	0.509996919	1.90E+04	8	40.375	22.35389068	37303	45.86094952	19.51153803
eve	0.699492733	0.510426386	1.90E+04	7	50.42857143	17.28059743	37305	45.85932181	19.51240946
sky	-0.669649688	0.510728108	1.91E+04	21	43.33333333	17.2925803	37290	45.86119603	19.51330612
craig	-0.719758267	0.51147294	1.91E+04	5	40.2	17.58408371	37306	45.86053182	19.51236199
on	-0.656060971	0.511879787	1.92E+04	1457	45.56280027	18.50498344	35972	45.88796842	19.55374121
becoming	0.682172781	0.512292981	1.91E+04	10	50	19.19490673	37301	45.85866331	19.51223365
kate	0.682032325	0.512370855	1.91E+04	10	49	14.56021978	37301	45.8589314	19.51325094
positive	-0.656419315	0.51287977	1.91E+04	114	44.72807018	18.43058495	37199	45.8631146	19.51514208
generous	0.677691151	0.51333363	1.92E+04	11	50.18181818	21.15569986	37300	45.85849866	19.51167511
enfants	0.693790396	0.513749755	1.92E+04	7	50.14285714	16.33430512	37304	45.85896955	19.51265679
younger	0.67210383	0.514240476	1.92E+04	13	49.30769231	18.49948024	37298	45.85857151	19.51248667
bad	0.652232585	0.51516499	1.92E+04	163	46.73006135	17.05729682	37152	45.85615848	19.52133404
straight	0.677045766	0.515392467	1.92E+04	10	50.3	20.74206676	37301	45.85858288	19.51183392
tree	0.659614652	0.515520616	1.92E+04	26	48	16.54811167	37285	45.85828081	19.51403009
capable	0.69732255	0.516663917	1.93E+04	6	49.5	12.78671185	37305	45.85918778	19.51296695
train	0.664140134	0.517376668	1.93E+04	15	48.53333333	15.59242795	37296	45.85869798	19.5135254
helen	-0.676459231	0.517819052	1.93E+04	9	40.55555556	23.52717105	37302	45.86105303	19.51115179
email	-0.650070518	0.517860018	1.93E+04	68	44.44117647	18.00860686	37243	45.8623634	19.51478193
rainy	-0.679717861	0.518506325	1.93E+04	8	42.25	15.02141329	37303	45.86054741	19.51294961
party	-0.649854529	0.519311244	1.94E+04	43	44.37209302	15.0143158	37268	45.86148975	19.51669441
handling	0.673777176	0.519428416	1.94E+04	9	49.44444444	15.96175986	37302	45.85890837	19.51288821
passed	0.653019927	0.519471096	1.94E+04	27	48.85185185	23.81289842	37285	45.85846855	19.50922783
dylan	-0.704061136	0.520212736	1.94E+04	5	39.6	19.8821528	37306	45.86061223	19.51210085
horrible	-0.6906473	0.520523367	1.94E+04	6	40.16666667	20.19323319	37305	45.86068892	19.51204902
routine	0.660172466	0.520661952	1.94E+04	14	49.57142857	21.04103787	37297	45.85838003	19.51158917
somewhere	0.662750215	0.521123407	1.94E+04	12	49	16.41507068	37299	45.85876297	19.51303509
list	-0.649157515	0.52116856	1.94E+04	31	43.4516129	20.66694415	37283	45.86210874	19.51195619
those	0.650955231	0.521520586	1.95E+04	24	48.95833333	23.33401914	37288	45.85711221	19.50969159
ride	0.645521395	0.521718616	1.95E+04	48	47.5	17.61285797	37263	45.85766041	19.51446564
granddaughters	0.687999991	0.522057062	1.95E+04	6	52.83333333	24.83076049	37305	45.85865166	19.51126499
for	-0.639907448	0.522271205	1.97E+04	3150	45.68063492	18.59884478	34579	45.90314931	19.59197905
spanish	0.686878603	0.522702809	1.95E+04	6	51.33333333	19.52092894	37305	45.85889291	19.51215083
voice	-0.662031246	0.522909073	1.95E+04	11	40.72727273	25.71805167	37300	45.86128686	19.51014787
ca	-0.766792993	0.523331752	1.95E+04	3	39.33333333	14.74222959	37308	45.86029806	19.51241217
packed	0.685469006	0.523520881	1.95E+04	6	51.66666667	20.75250989	37305	45.8588393	19.51196497
hair	-0.641524275	0.523792349	1.95E+04	57	44.0877193	20.86973261	37255	45.86224668	19.50983267
better	-0.637971927	0.524049338	1.96E+04	259	45.11969112	18.78368185	37061	45.86711098	19.5172475
sisters	-0.643826325	0.524569606	1.96E+04	31	43.87096774	17.20415054	37280	45.86142704	19.51393865
compliment	0.645541006	0.524693465	1.96E+04	25	48.48	20.30213453	37286	45.85801641	19.51163872
put	-0.638012612	0.5249734	1.96E+04	97	44.79381443	16.46773243	37214	45.86255173	19.51943947
easy	0.639348255	0.525503125	1.96E+04	51	47.29411765	16.02285133	37261	45.85818953	19.51634235
greatfull	0.653664309	0.525637231	1.96E+04	13	48.23076923	13.0776772	37298	45.85894686	19.51395411
creating	-0.667048618	0.526101458	1.96E+04	8	41.375	19.01831824	37303	45.86073506	19.51225645
stuff	0.637255384	0.52633284	1.96E+04	62	47.24193548	17.08962439	37251	45.85734611	19.51577296
seems	0.63857573	0.527495651	1.97E+04	34	47.70588235	16.86223935	37277	45.85808944	19.51438238
mail	-0.640016328	0.527752522	1.97E+04	27	43.66666667	17.81097328	37285	45.8614188	19.51306231
please	-0.660753742	0.529893355	1.98E+04	8	42.25	15.45269278	37303	45.86054741	19.51288642
while	-0.628953743	0.529957928	1.98E+04	245	45.16734694	17.29495079	37068	45.86522068	19.52665275
jen	0.647909421	0.530326871	1.98E+04	12	49.66666667	20.35741247	37299	45.85854849	19.51190132
trash	0.649052525	0.530922255	1.98E+04	11	50.63636364	24.41013202	37301	45.8589314	19.51067055
realizing	-0.641135703	0.532568538	1.99E+04	14	42.14285714	21.69671064	37297	45.86116846	19.51133849
banana	0.651656004	0.532881557	1.99E+04	9	49.55555556	17.0155158	37302	45.85888156	19.51269224
touch	-0.631015555	0.533139397	1.99E+04	29	43.65517241	18.82110491	37282	45.86148812	19.51268844
coach	0.639687705	0.534388305	1.99E+04	13	49.07692308	18.13588312	37298	45.85865194	19.51261023
driver	0.666751258	0.534450405	1.99E+04	6	51.16666667	19.49786313	37305	45.85891972	19.51216133
andrew	-0.643143017	0.53458458	1.99E+04	11	43.09090909	14.2790374	37300	45.86058981	19.5134324
taking	-0.620978924	0.535467635	2.00E+04	165	44.93939394	19.07165467	37148	45.8635189	19.51415709
abuse	-0.633259877	0.536091361	2.00E+04	16	42.9375	18.46246192	37296	45.8610843	19.51233399
emma	-0.634302892	0.536104753	2.00E+04	15	42.2	22.35173371	37296	45.86124517	19.5109939
laughs	0.662590781	0.536902605	2.00E+04	6	51.83333333	22.08544015	37305	45.85881249	19.51176076
anymore	0.619386838	0.537118752	2.00E+04	97	46.92783505	16.99831329	37214	45.85698931	19.51826576
rick	-0.69459948	0.537256456	2.00E+04	4	39.25	19.03286631	37307	45.86048195	19.51219352
confidence	0.638133618	0.537718095	2.01E+04	11	50	21.52208168	37300	45.85855228	19.51157931
reasonable	-0.660929314	0.537877081	2.01E+04	6	41.5	16.15858905	37305	45.86047447	19.51260801
review	-0.633684529	0.53816835	2.01E+04	13	42.69230769	18.02491154	37298	45.86087726	19.51264615
others	0.617572467	0.538480586	2.01E+04	87	47.08045977	18.45561514	37227	45.85690493	19.51405337
glasses	0.690573522	0.539457251	2.01E+04	4	52.75	19.95620204	37307	45.8590345	19.51210893
uplifting	0.637730238	0.539514721	2.01E+04	10	48.5	13.09155792	37301	45.85906544	19.51352189
eating	0.617306063	0.539943358	2.01E+04	49	47.65306122	20.34960178	37262	45.85741506	19.51106514
bus	0.618432682	0.540069218	2.02E+04	38	47.60526316	17.38831461	37276	45.85969525	19.51432582
move	-0.615319471	0.540151023	2.02E+04	78	44.46153846	20.09179732	37236	45.86274036	19.51200232
learn	-0.6149667	0.542140805	2.02E+04	40	43.975	19.39400846	37271	45.86179603	19.51230107
books	-0.614485559	0.54220259	2.02E+04	43	43.90697674	20.8552996	37270	45.86227529	19.51214133
goes	-0.621963518	0.542208935	2.02E+04	18	43.22222222	17.99527897	37293	45.86104631	19.51285405
hung	-0.6352605	0.542988695	2.03E+04	9	41.77777778	19.27937874	37302	45.86075814	19.51222209
chose	-0.651011382	0.543758041	2.03E+04	6	41	18.28660712	37305	45.86055489	19.51233725
casa	0.650590075	0.543997051	2.03E+04	6	49.16666667	12.44856083	37306	45.85964724	19.51290172
cope	0.630461916	0.544045774	2.03E+04	10	48.3	12.2388271	37301	45.85911906	19.51366241
electric	-0.633275084	0.544217898	2.03E+04	9	42.22222222	17.23207603	37303	45.86033295	19.5124892
productive	-0.613966815	0.544563324	2.03E+04	27	43.74074074	17.93919772	37284	45.8613078	19.51324487
van	-0.628748496	0.545123513	2.03E+04	10	43	14.38363267	37302	45.86057048	19.51303343
washing	-0.617182183	0.545284402	2.03E+04	18	43.16666667	18.51311141	37294	45.86051376	19.51266695
interruptions	0.628138085	0.545500129	2.04E+04	10	48.3	12.28413611	37301	45.85911906	19.51365554
olivia	0.646912826	0.546204163	2.04E+04	6	52.5	25.14557615	37305	45.85870527	19.51122966
